model,game,condition,attempted_n,parsed,compliance_rate,best_response_rate,payoff_calc,deviation,profitable_deviation,ce_label,mediator_trust,label_skepticism
claude-opus-4.6,3x3 Dominated Strategy,C1,5,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
claude-opus-4.6,3x3 Dominated Strategy,C2,5,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
claude-opus-4.6,3x3 Dominated Strategy,C3,5,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
claude-opus-4.6,3x3 Dominated Strategy,C4,10,10,1.0,0.0,0.7,1.0,0.5,1.0,0.8,0.5
claude-opus-4.6,3x3 Dominated Strategy,C5,10,10,1.0,0.0,0.7,1.0,0.1,1.0,1.0,0.2
claude-opus-4.6,3x3 Dominated Strategy,C7-fake,10,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
claude-opus-4.6,3x3 Dominated Strategy,C7-real,5,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
claude-opus-4.6,Battle of the Sexes,C1,10,10,1.0,1.0,0.6,0.9,0.0,1.0,1.0,0.0
claude-opus-4.6,Battle of the Sexes,C2,10,10,1.0,1.0,0.1,1.0,0.1,1.0,0.7,0.2
claude-opus-4.6,Battle of the Sexes,C3,10,10,1.0,1.0,0.0,1.0,0.0,1.0,0.5,0.1
claude-opus-4.6,Battle of the Sexes,C4,10,10,1.0,0.0,0.3,1.0,0.2,1.0,0.9,0.7
claude-opus-4.6,Battle of the Sexes,C5,10,10,0.0,1.0,0.0,1.0,0.0,1.0,0.1,0.4
claude-opus-4.6,Battle of the Sexes,C7-fake,10,10,0.0,1.0,0.2,1.0,0.2,0.7,0.3,0.0
claude-opus-4.6,Battle of the Sexes,C7-real,10,10,1.0,1.0,0.3,1.0,0.0,0.4,0.6,0.0
claude-opus-4.6,Chicken,C1,10,10,1.0,1.0,0.6,1.0,0.0,1.0,1.0,0.1
claude-opus-4.6,Chicken,C2,10,10,1.0,1.0,1.0,1.0,0.0,1.0,0.8,1.0
claude-opus-4.6,Chicken,C3,10,10,1.0,1.0,1.0,1.0,0.4,1.0,0.9,0.5
claude-opus-4.6,Chicken,C4,10,10,1.0,0.0,0.5,1.0,0.2,1.0,0.7,0.4
claude-opus-4.6,Chicken,C5,10,10,0.5,0.5,0.2,1.0,0.3,1.0,0.5,0.8
claude-opus-4.6,Chicken,C7-fake,10,10,0.0,1.0,0.0,1.0,0.4,1.0,0.3,0.0
claude-opus-4.6,Chicken,C7-real,10,10,1.0,1.0,1.0,1.0,0.1,1.0,1.0,0.0
claude-opus-4.6,Prisoner's Dilemma,C1,5,5,1.0,1.0,0.4,0.8,0.0,1.0,1.0,0.0
claude-opus-4.6,Prisoner's Dilemma,C2,5,5,1.0,1.0,0.0,1.0,0.2,0.4,0.8,0.0
claude-opus-4.6,Prisoner's Dilemma,C3,5,5,1.0,1.0,0.0,1.0,0.0,1.0,0.8,0.0
claude-opus-4.6,Prisoner's Dilemma,C4,5,5,1.0,0.0,0.0,1.0,0.2,1.0,0.8,0.2
claude-opus-4.6,Prisoner's Dilemma,C5,5,5,0.0,1.0,0.0,1.0,0.6,1.0,0.6,0.4
claude-opus-4.6,Prisoner's Dilemma,C7-fake,5,5,0.0,1.0,0.0,0.8,0.0,1.0,0.8,0.0
claude-opus-4.6,Prisoner's Dilemma,C7-real,5,5,1.0,1.0,0.4,1.0,0.6,0.4,0.2,0.0
claude-opus-4.6,Pure Coordination,C1,10,10,1.0,1.0,0.1,0.9,0.2,0.8,0.9,0.0
claude-opus-4.6,Pure Coordination,C2,10,10,1.0,1.0,0.3,0.8,0.0,1.0,0.7,0.0
claude-opus-4.6,Pure Coordination,C3,10,10,1.0,1.0,0.5,0.7,0.0,1.0,0.8,0.0
claude-opus-4.6,Pure Coordination,C4,10,10,1.0,0.0,0.2,1.0,0.0,1.0,1.0,0.1
claude-opus-4.6,Pure Coordination,C5,10,10,0.5,0.5,0.0,1.0,0.0,0.8,0.9,0.0
claude-opus-4.6,Pure Coordination,C7-fake,10,10,0.0,1.0,0.1,1.0,0.2,1.0,0.3,0.0
claude-opus-4.6,Pure Coordination,C7-real,10,10,1.0,1.0,0.8,1.0,0.0,1.0,0.4,0.0
claude-opus-4.6,Rock-Paper-Scissors,C1,15,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
claude-opus-4.6,Rock-Paper-Scissors,C2,15,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
claude-opus-4.6,Rock-Paper-Scissors,C3,15,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
claude-opus-4.6,Rock-Paper-Scissors,C4,15,15,1.0,0.0,1.0,1.0,0.4,1.0,1.0,0.8666666666666667
claude-opus-4.6,Rock-Paper-Scissors,C5,15,15,1.0,0.0,1.0,1.0,0.2,1.0,0.6,0.7333333333333333
claude-opus-4.6,Rock-Paper-Scissors,C7-fake,15,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
claude-opus-4.6,Rock-Paper-Scissors,C7-real,15,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
deepseek-v4-pro,3x3 Dominated Strategy,C1,5,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
deepseek-v4-pro,3x3 Dominated Strategy,C2,5,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
deepseek-v4-pro,3x3 Dominated Strategy,C3,5,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
deepseek-v4-pro,3x3 Dominated Strategy,C4,10,1,0.0,1.0,0.1,0.1,0.0,0.1,0.1,0.0
deepseek-v4-pro,3x3 Dominated Strategy,C5,10,3,0.0,1.0,0.3,0.2,0.0,0.0,0.0,0.0
deepseek-v4-pro,3x3 Dominated Strategy,C7-fake,10,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
deepseek-v4-pro,3x3 Dominated Strategy,C7-fake-own-audit,4,4,0.0,1.0,0.75,0.0,0.0,0.0,0.0,0.0
deepseek-v4-pro,3x3 Dominated Strategy,C7-fake-skeptical,4,4,0.0,1.0,1.0,1.0,0.0,0.0,0.25,0.25
deepseek-v4-pro,3x3 Dominated Strategy,C7-real,5,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
deepseek-v4-pro,Battle of the Sexes,C1,10,10,1.0,1.0,0.8,0.8,0.0,1.0,0.6,0.0
deepseek-v4-pro,Battle of the Sexes,C2,10,10,1.0,1.0,0.1,0.8,0.0,0.2,0.2,0.0
deepseek-v4-pro,Battle of the Sexes,C3,10,10,1.0,1.0,0.2,0.8,0.0,0.4,0.4,0.0
deepseek-v4-pro,Battle of the Sexes,C4,10,4,0.0,1.0,0.3,0.4,0.0,0.4,0.0,0.0
deepseek-v4-pro,Battle of the Sexes,C5,10,9,0.0,1.0,0.1,0.7,0.0,0.0,0.0,0.0
